f.name,f.degree,f.closeness_centrality,f.betweenness_centrality,f.harmonic_centrality,f.eigenvector_centrality,f.pagerank_centrality
Medici,6,0.56,95.0,0.6333333333333333,0.4301415295031994,2.1000711258721774
Guadagni,4,0.4666666666666667,46.33333333333332,0.5388888888888889,0.2889514823099535,1.4179036405883663
Albizzi,3,0.4827586206896552,38.66666666666667,0.5222222222222223,0.244219988092714,1.1431308396753574
Tornabuon,3,0.4827586206896552,16.666666666666668,0.5222222222222223,0.32605457157174983,1.025540193604691
Barbadori,3,0.4375,17.0,0.4722222222222222,0.21182189365433046,0.7254291287843958
Castellan,3,0.3888888888888889,10.0,0.4611111111111111,0.25891532872531303,0.9964169820488685
Peruzzi,3,0.3684210526315789,4.0,0.4522222222222222,0.275604843151996,0.9746000987149815
Strozzi,3,0.4375,18.666666666666668,0.5222222222222223,0.3558244310224377,1.2634218852251258
Ridolfi,3,0.5,20.666666666666668,0.5333333333333333,0.3416433386202155,1.0000026774688247
Bischeri,3,0.4,19.0,0.48000000000000004,0.2828059364991496,0.9893565389741938
Salviati,2,0.3888888888888889,26.0,0.4388888888888889,0.14608903261465814,0.8903515262264275
Lambertes,2,0.32558139534883723,0.0,0.35777777777777775,0.08887088398208688,0.44909100758673054
Pazzi,2,0.2857142857142857,0.0,0.3177777777777777,0.044791707782338444,0.5262545817628642
Ginori,1,0.3333333333333333,0.0,0.3555555555555555,0.07487599272843551,0.4717467838023632
Acciajuol,1,0.3684210526315789,0.0,0.39444444444444443,0.13230072748577387,0.4452900233969174
Pucci,0,0.0,0.0,0.0,1.1496844072931621e-94,0.15000000000000002